id,district,name,category,address,tel,latitude,longitude,city,district,detail
1,松山區,一日樂食 (南京店),盒餐,"臺北市松山區南京東路四段133巷4弄5號
1樓",02-25455648,25.05216,121.555206,台北市,松山區,南京東路四段133巷5弄1
2,松山區,GET POWER 給力盒子小巨蛋店,盒餐,臺北市松山區南京東路四段133巷5弄6號,02-25471312,25.052356,121.555364,台北市,松山區,南京東路四段133巷5弄6
3,松山區,Ｄ卡食驗室健康餐盒-小巨蛋店,盒餐,臺北市松山區復興北路313巷45號1樓,0910-039388,25.059022,121.544463,台北市,松山區,復興北路313巷1
4,松山區,少點鹽健康餐盒專賣小巨蛋店,盒餐,臺北市松山區敦化北路120巷7弄5號,0916-817553,25.0538553,121.5481646,台北市,松山區,敦化北路120巷7弄5
5,松山區,凱莉廚房,盒餐,"臺北市松山區八德路三段74巷14弄
22號","02-25795551
0933152555",25.0473167,121.5522865,台北市,松山區,八德路三段74巷14弄
6,松山區,中崙素食之家,盒餐,"臺北市松山區八德路三段76號2F
(中崙美食街14號)",02-25771207,25.048006,121.552785,台北市,松山區,八德路三段76
7,松山區,卡洛貍Mini健康餐盒_南京三民店,盒餐,臺北市松山區八德路四段245巷58號,02-27455593,25.050976,121.5640059,台北市,松山區,八德路四段245巷58
8,松山區,六六便當店restaurants,盒餐,臺北市松山區南京東路五段66巷6號,02-27683333,25.050661,121.560664,台北市,松山區,南京東路五段66巷6
9,松山區,樂坡BonBox – 臺北南京三民店,盒餐,"臺北市松山區南京東路五段123巷2弄1-1
號",0908-951713,25.052015,121.5606,台北市,松山區,南京東路五段123巷1弄2
10,松山區,嘉瑋便當,盒餐,臺北市松山區八德路四段805號,02-27482169,25.051401,121.578822,台北市,松山區,八德路四段805
11,松山區,弍食穗（民生店）輕食·餐盒,盒餐,"臺北市松山區民生東路四段56巷1弄
2號",0953-898755,25.057382,121.551717,台北市,松山區,民生東路四段56巷1弄2
12,松山區,GET POWER 給力盒子 低脂健康餐盒 民生,店 盒餐,臺北市松山區民生東路四段99號,02-25473567,25.058164,121.552272,台北市,松山區,民生東路四段99
13,松山區,阿德叔叔 Uncle DASH,盒餐,"臺北市松山區南京東路五段123巷
11號",02-27568080,25.052378,121.5607,台北市,松山區,南京東路五段123巷11
14,松山區,嗚啦啦風味便當店,盒餐,"臺北市松山區南京東路五段250巷
11-2號1樓",0900-332347,25.049834,121.566075,台北市,松山區,南京東路五段250巷11-1
15,松山區,卡洛貍健康餐盒_小巨蛋店,盒餐,臺北市松山區南京東路四段133巷4弄3號,02-25455595,25.052319,121.554585,台北市,松山區,南京東路四段133巷4弄16-3
16,松山區,甘擔廚房,餐廳,臺北市松山區東興路七號㇐樓,02-27420566,25.0500728,121.5654323,台北市,松山區,東興路
17,松山區,健康滿溢好料理,盒餐,"臺北市松山區民權東路三段103巷
9-1號",02-27173849,25.062443,121.546746,台北市,松山區,民權東路三段153巷1弄1
18,信義區,料理王健康素食,自助餐,臺北市信義區吳興街269巷1弄1號,02-87891088,25.027134,121.564334,台北市,信義區,吳興街269巷1弄1
19,信義區,逸先堂自助餐坊,自助餐,臺北市信義區逸仙路50巷26號,02-27587628,25.040516,121.562922,台北市,信義區,逸仙路50巷26
20,信義區,少點鹽健康餐盒專賣-信義店,盒餐,"臺北市信義區永吉路278巷30號
(近捷運永春站)",02-27568006,25.044516,121.574068,台北市,信義區,永吉路278巷30
21,信義區,日常時光 原型餐盒 臺北市府店,盒餐,臺北市信義區忠孝東路五段177號,02-27569519,25.041237,121.569029,台北市,信義區,忠孝東路五段177
